Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,default
2,Imported Shape,,1,,,,,,Supermercado
3,Imported Shape,,1,,,,,,NIF_Supermercado
4,Imported Shape,,1,,,,,,Nome
5,Imported Shape,,1,,,,,,Morada
6,Imported Shape,,1,,,,,,Largura
7,Imported Shape,,1,,,,,,
8,Imported Shape,,1,,,,,,
9,Text,Default,1,,,,,,Corredores
10,Imported Shape,,1,,,,,,
11,Imported Shape,,1,,,,,,
12,Text,Default,1,,,,,,organizado
13,Imported Shape,,1,,,,,,
14,Imported Shape,,1,,,,,,
15,Text,Default,1,,,,,,Prateleira
16,Imported Shape,,1,,,,,,N_Unidades
17,Imported Shape,,1,,,,,,N_frentes
18,Imported Shape,,1,,,,,,lado
19,Imported Shape,,1,,,,,,altura
20,Imported Shape,,1,,,,,,
21,Imported Shape,,1,,,,,,
22,Text,Default,1,,,,,,organizado
23,Imported Shape,,1,,,,,,Categoria
24,Merge,Flowchart Shapes,1,,,,,,
25,Text,Default,1,,,,,,disjoint
26,Imported Shape,,1,,,,,,Categoria_Simples
27,Imported Shape,,1,,,,,,Super_Categoria
28,Decision,Flowchart Shapes,1,,,,,,
29,Text,Default,1,,,,,,< contem_sub_categoria
30,Imported Shape,,1,,,,,,Produto
31,Merge,Flowchart Shapes,1,,,,,,
32,Text,Default,1,,,,,,disjoint
33,Imported Shape,,1,,,,,,Normal
34,Imported Shape,,1,,,,,,Granel
35,Imported Shape,,1,,,,,,Marca
36,Imported Shape,,1,,,,,,Nome
37,Imported Shape,,1,,,,,,Fornecedor
38,Merge,Flowchart Shapes,1,,,,,,
39,Text,Default,1,,,,,,overlaping
40,Imported Shape,,1,,,,,,Secundario
41,Imported Shape,,1,,,,,,Primario
42,Imported Shape,,1,,,,,,NIF_Fornecedor
43,Text,Default,1,,,,,,pertence >
44,Imported Shape,,1,,,,,,Empregado
45,Merge,Flowchart Shapes,1,,,,,,
46,Text,Default,1,,,,,,disjoint
47,Imported Shape,,1,,,,,,Noturno
48,Imported Shape,,1,,,,,,Diuno
49,Imported Shape,,1,,,,,,Nome
50,Imported Shape,,1,,,,,,NIF_Empregado
51,Imported Shape,,1,,,,,,Reposicao
52,Imported Shape,,1,,,,,,Compensacao
53,Merge,Flowchart Shapes,1,,,,,,
54,Text,Default,1,,,,,,overlapse
55,Imported Shape,,1,,,,,,Especialista
56,Imported Shape,,1,,,,,,Geral
57,Imported Shape,,1,,,,,,Especialidade
58,Decision,Flowchart Shapes,1,,,,,,
59,Text,Default,1,,,,,,repoe
60,Decision,Flowchart Shapes,1,,,,,,
61,Text,Default,1,,,,,,repoe
62,Decision,Flowchart Shapes,1,,,,,,
63,Text,Default,1,,,,,,assegura >
64,Decision,Flowchart Shapes,1,,,,,,
65,Text,Default,1,,,,,,< backup
66,Decision,Flowchart Shapes,1,,,,,,
67,Text,Default,1,,,,,,pertence >
68,Decision,Flowchart Shapes,1,,,,,,
69,Text,Default,1,,,,,,pertence >
70,Decision,Flowchart Shapes,1,,,,,,
71,Text,Default,1,,,,,,< tem
72,Imported Shape,,1,,,,,,Data
73,Decision,Flowchart Shapes,1,,,,,,
74,Text,Default,1,,,,,,trabalha_em  >
75,Imported Shape,,1,,,,,,Numero_Corredor
76,Text,Default,1,,,,,,--------------------------
77,Imported Shape,,1,,,,,,Localizacao
78,Text,Default,1,,,,,,---------
79,Text,Default,1,,,,,,---------
80,Imported Shape,,1,,,,,,EAN
81,Imported Shape,,1,,,,,,Designacao
82,Imported Shape,,1,,,,,,Nome
83,Imported Shape,,1,,,,,,Instante
84,Imported Shape,,1,,,,,,N_Unidades
85,Decision,Flowchart Shapes,1,,,,,,
86,Text,Default,1,,,,,,< repoe
87,Imported Shape,,1,,,,,,
88,Imported Shape,,1,,,,,,
89,Text,Default,1,,,,,,Reposicao
90,Imported Shape,,1,,,,,,
91,Imported Shape,,1,,,,,,
92,Text,Default,1,,,,,, < e_reposto
93,Text,Default,1,,,,,,------------
94,Decision,Flowchart Shapes,1,,,,,,
95,Text,Default,1,,,,,,planograma
96,Line,,1,,3,2,None,None,
97,Line,,1,,4,2,None,None,
98,Line,,1,,5,2,None,None,
99,Line,,1,,2,10,None,None,
100,Line,,1,,11,7,Arrow,None,
101,Line,,1,,30,94,None,Arrow,
102,Line,,1,,77,94,None,None,
103,Line,,1,,16,94,None,None,
104,Line,,1,,17,94,None,None,
105,Line,,1,,19,14,None,None,
106,Line,,1,,18,13,None,None,
107,Line,,1,,14,20,None,Arrow,
108,Line,,1,,20,7,None,None,
109,Line,,1,,94,14,None,None,
110,Line,,1,,23,24,None,None,
111,Line,,1,,26,24,None,None,
112,Line,,1,,27,24,None,None,
113,Line,,1,,28,23,Arrow,None,
114,Line,,1,,28,27,None,None,
115,Line,,1,,30,31,None,None,
116,Line,,1,,31,33,None,None,
117,Line,,1,,34,31,None,None,
118,Line,,1,,68,23,None,None,
119,Line,,1,,68,30,Arrow,None,
120,Line,,1,,35,33,None,None,
121,Line,,1,,36,34,None,None,
122,Line,,1,,37,38,None,None,
123,Line,,1,,38,41,None,None,
124,Line,,1,,40,38,None,None,
125,Line,,1,,42,37,None,None,
126,Line,,1,,40,66,None,None,
127,Line,,1,,70,30,Arrow,None,
128,Line,,1,,66,30,None,None,
129,Line,,1,,47,45,None,None,
130,Line,,1,,48,45,None,None,
131,Line,,1,,49,44,None,None,
132,Line,,1,,2,73,None,None,
133,Line,,1,,73,44,Arrow,None,
134,Line,,1,,52,47,None,None,
135,Line,,1,,55,53,None,None,
