Id,Name,Shape Library,Page ID,Contained By,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,default
2,Process,Flowchart Shapes,1,,,,,,
3,Imported Shape,,1,,,,,,Supermercado
4,Imported Shape,,1,,,,,,NIF_Supermercado
5,Imported Shape,,1,,,,,,Nome
6,Imported Shape,,1,,,,,,Morada
7,Imported Shape,,1,,,,,,Largura
8,Imported Shape,,1,,,,,,
9,Imported Shape,,1,,,,,,
10,Text,Default,1,,,,,,Corredores
11,Imported Shape,,1,,,,,,
12,Imported Shape,,1,,,,,,
13,Text,Default,1,,,,,,organizado
14,Imported Shape,,1,,,,,,
15,Imported Shape,,1,,,,,,
16,Text,Default,1,,,,,,Prateleira
17,Imported Shape,,1,,,,,,N_Unidades
18,Imported Shape,,1,,,,,,N_frentes
19,Imported Shape,,1,,,,,,
20,Imported Shape,,1,,,,,,
21,Text,Default,1,,,,,,organizado
22,Imported Shape,,1,,,,,,Categoria
23,Merge,Flowchart Shapes,1,,,,,,
24,Text,Default,1,,,,,,disjoint
25,Imported Shape,,1,,,,,,Categoria_Simples
26,Imported Shape,,1,,,,,,Super_Categoria
27,Decision,Flowchart Shapes,1,,,,,,
28,Text,Default,1,,,,,,< contem_sub_categoria
29,Imported Shape,,1,,,,,,Produto
30,Merge,Flowchart Shapes,1,,,,,,
31,Text,Default,1,,,,,,disjoint
32,Imported Shape,,1,,,,,,Normal
33,Imported Shape,,1,,,,,,Granel
34,Imported Shape,,1,,,,,,Marca
35,Imported Shape,,1,,,,,,Nome
36,Imported Shape,,1,,,,,,Fornecedor
37,Merge,Flowchart Shapes,1,,,,,,
38,Text,Default,1,,,,,,overlaping
39,Imported Shape,,1,,,,,,Secundario
40,Imported Shape,,1,,,,,,Primario
41,Imported Shape,,1,,,,,,NIF_Fornecedor
42,Imported Shape,,1,,,,,,Empregado
43,Merge,Flowchart Shapes,1,,,,,,
44,Text,Default,1,,,,,,disjoint
45,Imported Shape,,1,,,,,,Noturno
46,Imported Shape,,1,,,,,,Diuno
47,Imported Shape,,1,,,,,,Nome
48,Imported Shape,,1,,,,,,NIF_Empregado
49,Imported Shape,,1,,,,,,Compensação
50,Merge,Flowchart Shapes,1,,,,,,
51,Text,Default,1,,,,,,overlapse
52,Imported Shape,,1,,,,,,Especialista
53,Imported Shape,,1,,,,,,Geral
54,Imported Shape,,1,,,,,,Especialidade
55,Decision,Flowchart Shapes,1,,,,,,
56,Text,Default,1,,,,,,repõe
57,Decision,Flowchart Shapes,1,,,,,,
58,Text,Default,1,,,,,,< backup
